branch,support,coverage,notes,correction,cluster,sp
b1,57,1,dificilinus_consobrinus,cons,1,1
b2,66,1,hemmoidalis,cons,1,0
b3,71,1,culumanus_cibicus_pirosoma,cons,2,1
b4,81,1,breviceps,cons,2,0
b1,63,2,dificilinus_consobrinus,cons,1,1
b2,83,2,hemmoidalis,cons,1,0
b3,100,2,culumanus_cibicus_pirosoma,cons,2,1
b4,63,2,breviceps,cons,2,0
b1,71,4,,cons,1,1
b2,89,4,,cons,1,0
b3,100,4,,cons,2,1
b4,28,4,incorrect,cons,2,0
b1,85,8,,cons,1,1
b2,98,8,,cons,1,0
b3,100,8,,cons,2,1
b4,89,8,,cons,2,0
b1,81,0,asm,cons,1,1
b2,91,0,asm,cons,1,0
b3,100,0,asm,cons,2,1
b4,75,0,asm,cons,2,0